Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM1297098	0	0.18771133536213	0.238065168365559	0.0573445508770311	0	0	0.0815020061524989	0.0179407988601172	0.00263925387879694	0	0.0305932829206854	0.0254230329162007	0.0486582881299049	0.00398643675842988	0.157881272798737	0.0828006609861685	0.0197131739704938	0	0.0457407380232463	0	0	0	0	0.355587809781311	0.957691871371108
GSM1297102	0	0.103087981066497	0.24350239836544	0.110629690531978	0	0.0137309164053551	0.0257562102727647	0.0384365687803894	0.00419633209990427	0	0	0	0.122917326939645	0	0.0430457795957179	0.0616910481426363	0.0100451636671127	0.0900707590636147	0	0.119324911729185	0	0.0135649133397599	0.001	0.328573493601673	0.961065457611881
GSM1297104	0	0.147292099053243	0.134322686262152	0.0602059048334716	0	0.0886417432414367	0.0594407805012931	0.0102182561558204	0.0166605533195368	0	0	0.0360706935234715	0.152336122260767	0.0262543654706991	0.0340109566112442	0.10673674524928	0.0593711858297764	0.0129925028034961	0.0554454048843121	0	0	0	0.0629999999999999	0.145261574317553	1.02351813871436
GSM1297106	0	0.00135907548650343	0.306199255748335	0.165412997841244	0	0.0661758854434314	0.0138684354611635	0.0407806866923261	0.0100966181548927	0.0216976528762982	0	0.0638798764738476	0.0688936837478224	0	0.0693023048264409	0.113505512608052	0	0	0.0203716091723177	0.00690913246887152	0.031547272998453	0	0.004	0.251857707946297	1.01286231260923
GSM1297114	0	0.0779996879712619	0.272728157818851	0.119277957854459	0	0.00106559449390746	0.0316475626129106	0.0568163229617582	0.0383198599595722	0.0137317276817055	0	0.0161694490454885	0.0569202913414305	0.0106765360532596	0.211766767545133	0.0751250333293896	0.00283662300973442	0.0108277790972814	0.0040906492238568	0	0	0	0.002	0.313497511084168	0.991568684907013
GSM1297116	0.0768386426884342	0	0.447429971809099	0.0520291601067773	0	0.0481475387472183	0	0.0559688394678308	0.0540932434212474	0.00359498395689385	0	0.0130731240052717	0.0853227576993396	0.00765130457008983	0.0477098628920766	0.0647893135745753	0	0	0	0.0433512570611464	0	0	0	0.492502896274855	0.903653709872209
GSM1297120	0	0.124425398620193	0.240062160969085	0.0056661765132779	0	0.140112709922179	0	0	0.0765358010580601	0	0	0.0650143017063256	0.205842209470844	0.00992962750034014	0.00943200551384205	0	0	0.0917891911228988	0	0.0311904176029549	0	0	0.053	0.15360933210265	1.05435008810103
GSM1297122	0	0.211641301981988	0.201089667521684	0.0985948388018127	0	0	0	0.0521186155413689	0.044563458887314	0	0	0.0321001446516611	0.0730043262910788	0.0310875069594119	0.0515810471664628	0.0968848164265999	0.0135520920928921	0	0.0701846443484422	0	0	0.023597539329284	0.002	0.300720829835672	0.975962391782521
GSM1297128	0	0.107078943033124	0.229948808197378	0.0821429195871595	0	0	0.0647474150155022	0.0390622595199227	0.0377870150527101	0	0	0.0105780255120729	0.103658306909273	0.0418796725908228	0.078617474442061	0.0805008739968041	0.0411081348298005	0	0.0828901513133692	0	0	0	0	0.380094374708191	0.929589710035796
GSM1297132	0	0.13507829869709	0.106892769077997	0.0752227491080289	0	0.144307126530315	0	0.0036371928949249	0.0561495571747043	0	0.00890925635871996	0.028936031487491	0.156360601649528	0	0.0996254979714519	0.161149925581017	0	0	0.0237309934687324	0	0	0	0.189	0.0913816537465954	1.05133691172559
GSM1297134	0	0.136947938276823	0.183997232457656	0.00266027003647728	0.0770711962883359	0.15643215951664	0	0	0	0	0.0300102978531409	0.0562003570584915	0.136968322974066	0.0435458219832831	0.0270874445051444	0.0252450634280498	0	0.0963242883841125	0.0275096072377793	0	0	0	0.204	0.0877768561059671	1.06623492922487
GSM1297136	0	0.307397395426377	0.136251321228897	0	0	0.0669862262633331	0	0.0322569716390681	0.086370519631726	0	0	0.0764951495460206	0.0716433830657713	0.035799105679576	0.0376543922970041	0.0460777767718844	0	0	0.103067758450343	0	0	0	0.215	0.0857205506558946	1.08448915042465
GSM1297138	0	0.134221404457045	0.143950335513347	0.0726937850926344	0	0.0625964360289278	0	0.0727052433510648	0.0434276130346416	0	0	0.157682445001778	0.115232399475606	0.109097692563142	0.0157006122942437	0.0143491039644813	0	0	0.0492407098255281	0	0.00910221939755985	0	0.222	0.0828676048260695	1.07213962878977
GSM1297140	0	0.206858664539542	0.22715539466775	0.0472742393225122	0.0193088933260332	0	0	0.106936308860997	0.0388546437615595	0	0	0.0629117819570806	0.179180476085013	0.0361660384459201	0.0247104099177971	0.0378664752184192	0	0	0.00741064182995823	0	0.00536603206741844	0	0.048	0.160219463666664	1.06167595108595
GSM1297146	0	0.110692703829987	0.0994195869859192	0.0940612476058881	0	0	0.0738323381289685	0.0617125951974715	0.0258538068983188	0	0	0.0455503113349088	0.0827433422848736	0.000164782227165455	0.13296696324622	0.112149130338324	0	0.0979766672308065	0.0628765246911474	0	0	0	0.261	0.0726147845019215	1.06085779772869
GSM1297148	0	0.00425136123830944	0.0700838026127881	0.135503015618551	0.0352581945284143	0	0.095565052917832	0.0515156606462258	0.0288401439108097	0	0	0.0835759635794159	0.075710244080482	0	0.223337499964901	0.0833692302544462	0.0960772877714689	0	0.0169125428763562	0	0	0	0.025	0.184025455462992	1.02889261400243
GSM1297150	0	0.0935213408225111	0.289631240817189	0.0635795101105791	0	0.0462754054093063	0.0294395256950603	0.0447584615993119	0.014289932500193	0.0169424126408541	0	0.0385571729059831	0.0467260070655067	0.0309627061424964	0.116842625324111	0.0814020765013649	0.0233626070940756	0	0.0636811123171771	0	0	2.78630542802264e-05	0	0.485854356604532	0.876233994260844
GSM1297154	0	0.134368425808251	0.279719841203477	0.0732042385613509	0	0.0335116417230412	0	0.12865973349516	0.0374045238155168	0	0.0117808503297046	0.0267287672315222	0.160485091427718	0.0452708953515278	0.0566213417141108	0	0	0	0.0122446493386205	0	0	0	0.01	0.226867866610313	1.03375099853125
GSM1297156	0	0.193136158251003	0.29186098871575	0.0276918163380685	0	0.0470022675301521	0	0.0353276412034457	0.0641809990494897	0	0	0.069576805496772	0.138329880628691	0.0445020924090414	0.0211657448402237	0.0473826068637608	0.00357479388334178	0	0.0162682047902597	0	0	0	0.085	0.129526320259992	1.10020646757697
GSM1297160	0	0.119802671831344	0.157969655218607	0	0.0241468812657583	0.265342380433428	0.00234588737365583	0.0433181668167978	0	0	0.0512281974189671	0.0160397463447614	0.0617093933635367	0.0742583154431917	0.106433193560948	0.0339720823081828	0	0	0	0.0434334286208215	0	0	0.077	0.133835860510499	1.04668728855984
GSM1297164	0	0.103840855892885	0.16242072845242	0.00884619994668097	0	0.146520420799511	0	0.01902474441228	0.0453222306815187	0	0	0.0618873051287665	0.0994399019294186	0	0.126123881330181	0.122231132745927	0.0079814760658628	0	0.0378900431075644	0	0.0459797365550328	0.0124913429519504	0.003	0.291899393241257	0.969057252015501
GSM1297166	0	0.0935816038480656	0.231982386952917	0.0646629614883585	0	0.0793897081757571	0	0.0235008274645008	0.0267765509144373	0	0	0.0398429223299206	0.147287791512149	0.00488443463656225	0.0575909036020326	0.0510164030697278	0.0911194257045338	0	0.0858245788191749	0	0.00253950148186241	0	0.003	0.264131395314309	0.987141610019508
GSM1297174	0	0.0515726209784033	0.15845235758254	0.0920796746236092	0	0.0545527247835736	0	0	0.0617844563582367	0	0	0.0355272143326118	0.120193901787945	0.125389401613597	0.0674510116981381	0.0159244208051677	0	0	0	0.172675426465556	0	0.0443967889706221	0.43	0.0437017655165234	1.08139832880317
